,chi1,chi2,knee,trial,err_chi1,err_chi2,err_knee
0,0.0,0.0,0.0,0.0,2.3899385172470402e-08,0.003638661488028554,1.270706159793737
1,0.0,0.0,0.0,1.0,2.61692038906778e-12,0.03328839950091746,1.1759725155983063
2,0.0,0.0,0.0,2.0,0.056434625860608975,5.690771561125748e-09,0.8333048215222925
3,0.0,0.0,0.0,3.0,4.201216832856648e-13,2.0764828600651576e-13,1.487998363431698
4,0.0,0.0,0.0,4.0,9.09204658695751e-12,5.482875322471763e-12,0.5230016165485888
5,0.0,0.0,0.0,5.0,3.766096297887662e-06,0.02372090195486422,1.1681797715288056
6,0.0,0.0,0.0,6.0,3.826504847347518e-05,0.017914963916215693,1.3581431443516492
7,0.0,0.0,0.0,7.0,4.030474327137247e-22,5.562672287403512e-21,1.1971537203720355
8,0.0,0.0,0.0,8.0,4.2630612917944456e-16,2.035078416119659e-16,1.3217247886917984
9,0.0,0.0,0.0,9.0,0.008349591006509479,1.6411326702894022e-11,1.0940079295915335
10,0.0,0.0,10.0,0.0,9.803894907115256e-15,1.3627919041163173e-12,10.572091306121731
11,0.0,0.0,10.0,1.0,0.013862683060296364,0.00018398237643057298,13.07938872908123
12,0.0,0.0,10.0,2.0,8.67840939610594e-22,7.1305541463023e-19,12.507075258506674
13,0.0,0.0,10.0,3.0,3.4380941366872905e-17,3.4705749742878834e-14,12.121658881685939
14,0.0,0.0,10.0,4.0,5.476719272680906e-14,7.116402484730166e-11,11.952842681604618
15,0.0,0.0,10.0,5.0,3.3982770759390744e-17,0.23244042924183275,13.92403586682082
16,0.0,0.0,10.0,6.0,6.593992797463274e-14,7.298090928627011e-13,15.114726305106569
17,0.0,0.0,10.0,7.0,2.3779891274502745e-15,5.607956801916219e-13,11.110454868450582
18,0.0,0.0,10.0,8.0,0.0438971915045423,3.0805768210602404e-10,11.33299000234824
19,0.0,0.0,10.0,9.0,0.00581675424935397,0.4839916082254174,11.132367071752931
20,0.0,0.0,20.0,0.0,2.7607783902842554e-13,1.0829793814184138e-12,9.361705781036736
21,0.0,0.0,20.0,1.0,6.141217009273607e-21,0.28931471686399335,26.035227963880097
22,0.0,0.0,20.0,2.0,0.00022652601216058298,5.840416649394739e-05,14.938683709341568
23,0.0,0.0,20.0,3.0,0.057099153337121775,3.8112939450823534e-05,10.00177174438118
24,0.0,0.0,20.0,4.0,5.655416217640666e-34,0.1957975815958144,27.23627825492335
25,0.0,0.0,20.0,5.0,3.20269482788012e-16,0.21626487723808682,-7.6122268709992085
26,0.0,0.0,20.0,6.0,0.010597162089745054,3.728439045770193e-05,13.50011265940077
27,0.0,0.0,20.0,7.0,2.0717599821882492e-16,1.1145200753649248e-14,24.002906648987626
28,0.0,0.0,20.0,8.0,1.3354138737976042e-22,0.21265738476582666,25.43503673853605
29,0.0,0.0,20.0,9.0,0.044045519431912664,7.168526831178334e-08,14.903177194138628
30,0.0,0.0,30.0,0.0,0.024779940660630242,2.4380939691723557e-05,8.463132901822732
31,0.0,0.0,30.0,1.0,0.09263681195197072,1.51811276731441e-05,1.8450077833277803
32,0.0,0.0,30.0,2.0,4.8588016600223994e-14,7.126919034256797e-11,14.042657100409592
33,0.0,0.0,30.0,3.0,3.101759270875859e-23,0.4856848090469393,31.34006447789028
34,0.0,0.0,30.0,4.0,0.03580524480178896,3.242827485496695e-05,6.944487216340832
35,0.0,0.0,30.0,5.0,0.01559076548523812,1.2584583456324379e-06,10.683755275237345
36,0.0,0.0,30.0,6.0,2.4352658298244308e-14,1.4555692481453775e-13,12.273128741486254
37,0.0,0.0,30.0,7.0,0.041736893694908184,4.902386369180642e-06,6.803013895397221
38,0.0,0.0,30.0,8.0,2.8883688241387566e-20,2.224237312163749e-17,10.203884965047429
39,0.0,0.0,30.0,9.0,1.0071324999809496e-15,5.851457866748996e-16,14.499850308772906
40,0.0,0.0,40.0,0.0,2.2365374902268036e-24,0.7391303185025145,40.16832932344789
41,0.0,0.0,40.0,1.0,8.143635943643606e-21,3.2190990060394457e-20,3.943827873236465
42,0.0,0.0,40.0,2.0,0.08831348952023968,3.080382995377458e-05,1.8769120235864918
43,0.0,0.0,40.0,3.0,1.1025603380144901e-13,0.19758294623056208,-30.208679709188104
44,0.0,0.0,40.0,4.0,6.026754591379755e-15,6.082791298430643e-13,9.961051615741027
45,0.0,0.0,40.0,5.0,1.079937554612439e-37,0.6176084243774141,47.85675216476592
46,0.0,0.0,40.0,6.0,7.043207864763155e-16,3.0502707421167374e-13,10.452142072921404
47,0.0,0.0,40.0,7.0,1.1621587320990807e-24,0.8659758532440925,38.50797708235861
48,0.0,0.0,40.0,8.0,9.611438551170963e-14,2.0478291583813212e-13,16.72770091002227
49,0.0,0.0,40.0,9.0,4.6739659165884224e-17,4.2704664070254643e-16,16.071380276729606
50,0.0,0.0,50.0,0.0,1.3766637551264527e-15,3.4714808695522836e-15,8.325030920931994
51,0.0,0.0,50.0,1.0,4.778184462256198e-10,0.27492065434499274,-45.882922278673604
52,0.0,0.0,50.0,2.0,3.0700260993205303e-19,2.25645656199351e-19,0.19564103117107123
53,0.0,0.0,50.0,3.0,4.5768935506972845e-14,7.186877325746267e-11,17.147078414563765
54,0.0,0.0,50.0,4.0,1.5637812846876727e-18,5.2958748314606066e-14,13.194725126102647
55,0.0,0.0,50.0,5.0,0.03635275420916051,2.505079811925543e-07,7.9344293644087145
56,0.0,0.0,50.0,6.0,7.03319193700817e-26,2.540100498745691e-25,10.595518289122666
57,0.0,0.0,50.0,7.0,3.4020814582825793e-13,1.567335493226545e-11,10.42753582066021
58,0.0,0.0,50.0,8.0,6.752556773739631e-16,5.789946421231847e-16,7.655495492914767
59,0.0,0.0,50.0,9.0,2.232086983061872e-19,5.41528753918475e-18,6.669657139069102
60,0.0,0.0,60.0,0.0,1.735846270702796e-14,3.082624965457313e-13,18.641797366114076
61,0.0,0.0,60.0,1.0,2.600919116577139e-14,7.571466003955021e-15,6.639368166521351
62,0.0,0.0,60.0,2.0,1.4222454942665099e-24,0.6978266789277976,71.54215002572394
63,0.0,0.0,60.0,3.0,1.455472200486955e-14,4.390544303778695e-14,3.997173578345162
64,0.0,0.0,60.0,4.0,1.5352835966390133e-19,3.0139732083904845e-17,11.569806347895522
65,0.0,0.0,60.0,5.0,1.5240139086476873e-12,4.4356874418080214e-10,11.290322697979477
66,0.0,0.0,60.0,6.0,4.0570972479889104e-15,1.2306005616210907e-12,10.0756753373456
67,0.0,0.0,60.0,7.0,1.390621797732401e-20,0.7262893933175891,62.88431753914878
68,0.0,0.0,60.0,8.0,2.2417399673105263e-17,2.5002643620338334e-16,5.022496848008402
69,0.0,0.0,60.0,9.0,9.171447364327999e-18,5.05349992338444e-14,17.281350858685414
70,0.0,0.0,70.0,0.0,9.30947787380435e-28,0.6655716923774119,96.23016849683714
71,0.0,0.0,70.0,1.0,1.6281082088301128e-18,1.8160167197578983e-17,-5.860449683474613
72,0.0,0.0,70.0,2.0,0.07062792456580361,4.471009565180928e-10,11.649887792423598
73,0.0,0.0,70.0,3.0,4.3013965178224163e-13,0.49709365573105413,-36.927723735731234
74,0.0,0.0,70.0,4.0,1.5726933207581505e-14,1.0442417802627628e-13,4.653957553464551
75,0.0,0.0,70.0,5.0,4.648290426143547e-18,1.908870749478397e-16,7.458784130721185
76,0.0,0.0,70.0,6.0,1.9262427843924094e-36,0.585392541682801,94.01958535478505
77,0.0,0.0,70.0,7.0,2.1281877478660474e-26,0.9071145788983574,74.62347933263055
78,0.0,0.0,70.0,8.0,3.148879236522127e-12,6.68985954687648e-11,15.428102050381383
79,0.0,0.0,70.0,9.0,0.04652822915119868,3.5411730936471956e-05,-0.6905728104452891
80,0.0,0.0,80.0,0.0,0.016776065353644162,1.674742438208658e-05,-7.365012733169266
81,0.0,0.0,80.0,1.0,0.000779461322549481,4.824037264490355e-06,-2.20978754710616
82,0.0,0.0,80.0,2.0,4.450091636853529e-18,4.4768024806752445e-17,-9.53581003579363
83,0.0,0.0,80.0,3.0,2.9605109186803906e-15,1.0703273619852647e-12,-2.23362732948614
84,0.0,0.0,80.0,4.0,6.212096973419542e-26,8.352012202213942e-25,-10.865751466705348
85,0.0,0.0,80.0,5.0,1.3228145895541996e-16,5.965189418734402e-14,16.29543788658711
86,0.0,0.0,80.0,6.0,1.788206232187859e-17,1.504336052847138e-16,-8.632732412760049
87,0.0,0.0,80.0,7.0,0.031057047524453887,0.0002028184392748626,-11.64920208787602
88,0.0,0.0,80.0,8.0,2.4307515155193647e-13,1.0060266114621436e-11,-3.428285394384673
89,0.0,0.0,80.0,9.0,9.3633311476388e-19,1.331453761485478e-17,-5.348189239888413
90,0.0,0.0,90.0,0.0,4.1815211535158015e-14,8.803382434565395e-12,-12.23523249631451
91,0.0,0.0,90.0,1.0,7.420522433952735e-25,0.9562736450623095,103.47179376575679
92,0.0,0.0,90.0,2.0,6.1393593442032195e-18,1.6817236815256359e-18,-14.12675133830497
93,0.0,0.0,90.0,3.0,0.007481310999818868,2.678321857637906e-05,-9.987838260070262
94,0.0,0.0,90.0,4.0,2.996140951461289e-26,1.4856481287891406e-24,-15.44897408692384
95,0.0,0.0,90.0,5.0,1.932057989432353e-13,2.1810158031768234e-11,-13.29961091063258
96,0.0,0.0,90.0,6.0,5.633356231070535e-18,1.6759939272749416e-14,-7.867876588223439
97,0.0,0.0,90.0,7.0,8.916710649105475e-18,6.325710195560423e-17,-17.988379154692353
98,0.0,0.0,90.0,8.0,0.024857287954466366,0.0004435090046177436,-12.85630062777588
99,0.0,0.0,90.0,9.0,3.798662331708569e-13,1.5989903107982293e-11,-11.054301342433902
100,0.0,0.25,0.0,0.0,0.23548555263143653,-0.24999955714227134,1.23287291519882
101,0.0,0.25,0.0,1.0,6.21646960093674e-18,0.2109123910068177,0.7488667309116548
102,0.0,0.25,0.0,2.0,0.28510299314395166,-0.24999736686325272,0.9892263522645047
103,0.0,0.25,0.0,3.0,0.2251607848626748,-0.2499998475128019,1.4743840228523357
104,0.0,0.25,0.0,4.0,0.23461617705304635,-0.24994678881918075,1.4718388287897337
105,0.0,0.25,0.0,5.0,0.2010267609210732,-0.17193114268801432,1.225775272509369
106,0.0,0.25,0.0,6.0,5.128534095487701e-10,0.04818081716080447,0.2956115000994639
107,0.0,0.25,0.0,7.0,0.2359520149782142,-0.24999883842279427,1.4861108739493
108,0.0,0.25,0.0,8.0,0.27994491412798433,-0.24999985556522442,0.8599047669014217
109,0.0,0.25,0.0,9.0,9.736529317347341e-12,0.1488678523354366,1.6147096956881513
110,0.0,0.25,10.0,0.0,3.896215882785658e-18,0.3083084983664497,11.941723499551877
111,0.0,0.25,10.0,1.0,6.551378148547327e-21,-0.043271804436822964,14.605276986783998
112,0.0,0.25,10.0,2.0,2.212549091372415e-14,-0.24999999999969086,16.100992583307537
113,0.0,0.25,10.0,3.0,2.0074534279014853e-12,0.32692279798437907,11.44776220025317
114,0.0,0.25,10.0,4.0,1.5634773955936745e-27,0.3472747133191213,11.962327150157996
115,0.0,0.25,10.0,5.0,0.0771587388129738,-0.249962930660977,10.972703032526244
116,0.0,0.25,10.0,6.0,0.04075142058611566,-0.24999100130053287,13.882190827988854
117,0.0,0.25,10.0,7.0,0.013344054314265484,-0.2499841803596794,15.732978259548482
118,0.0,0.25,10.0,8.0,9.778809084652339e-17,0.04969505675914104,14.466950883153551
119,0.0,0.25,10.0,9.0,7.003291695617738e-15,-0.24999999999999625,16.619688738778354
120,0.0,0.25,20.0,0.0,1.8487718855326017e-24,0.18206176924591844,26.981841808370284
121,0.0,0.25,20.0,1.0,6.443431651063329e-22,-0.25,18.186851025481126
122,0.0,0.25,20.0,2.0,3.379828879659868e-15,0.3071769243988234,21.87702449319729
123,0.0,0.25,20.0,3.0,9.424266168807955e-20,-0.24999999999999997,15.729951079258178
124,0.0,0.25,20.0,4.0,0.011550629643584994,0.16874754142746812,25.385613051339988
125,0.0,0.25,20.0,5.0,0.1193556631919468,-0.2499745510529685,6.331197641271334
126,0.0,0.25,20.0,6.0,1.2211917006943352e-21,0.2519155963538645,22.948726295363848
127,0.0,0.25,20.0,7.0,1.5319426886151806e-21,0.262642892534802,23.70209886735708
128,0.0,0.25,20.0,8.0,5.601254140207345e-13,0.331630044496125,23.861601866157734
129,0.0,0.25,20.0,9.0,6.8273819189812956e-18,-0.24999999999999628,13.909428011777692
130,0.0,0.25,30.0,0.0,1.9043325371145388e-15,-0.2499999999999944,14.563600439952658
131,0.0,0.25,30.0,1.0,4.2613947920250457e-19,-0.25,14.970558914596303
132,0.0,0.25,30.0,2.0,0.051328676208722425,-0.24999995849703138,31.524917413711087
133,0.0,0.25,30.0,3.0,8.180779787355273e-24,0.43758856603155105,32.77380860178148
134,0.0,0.25,30.0,4.0,0.025625317326608124,-0.2499864245222304,7.915796839817837
135,0.0,0.25,30.0,5.0,0.024257744012818945,-0.24999590167824953,7.680820010291107
136,0.0,0.25,30.0,6.0,0.03603346229428777,-0.249997141549774,7.472793730118838
137,0.0,0.25,30.0,7.0,1.629219640924881e-27,-0.25,21.621990871030746
138,0.0,0.25,30.0,8.0,3.308979520902048e-17,-0.24999999999977277,16.190004438733048
139,0.0,0.25,30.0,9.0,0.038618485328356954,-0.24999314917227955,8.29552232585823
140,0.0,0.25,40.0,0.0,4.4677019838543295e-15,-0.2499999999982398,17.406876741216074
141,0.0,0.25,40.0,1.0,1.438413999459876e-17,-0.24999999999999992,9.570832892331872
142,0.0,0.25,40.0,2.0,3.2790450787255175e-15,-0.24999999999989034,13.223679281671288
